want to, ~하고 싶다.
would like to, ~하고 싶다.
plan to, ~할 계획이다.(동사plan)
agree to, ~하는 데 동의하다.
decide to, ~하기로 결정하다.
need to, ~해야 한다.
expect to, ~하기를 기대하다.
fail to, ~하지 못하다.
tend to, ~하는 경향이 있다.
hope to, ~하기를 바라다.
try to, ~하려고 노력하다.
strive to, ~하려고 노력하다.
ability to, ~할 능력
right to, ~할 권리
way to, ~할 방법
time to, ~할 시간
chance to, ~할 기회
opportunity to, ~할 기회
effort to, ~하려는 노력
failure to, ~하지 못함
plan to, ~할 계획 (명사plan)
be ready to, ~할 준비가 되다.
be allowed to, ~하는 것이 허락되다.
be able to, ~할 수 있다.
be expected to, ~하리라 예상된다.
be willing to, 기꺼이 ~하다.
be asked to, ~하도록 요청 받다.
be pleased to, ~하게 되어 기쁘다.
be advised to, ~하도로 권고 받다.
be likely to, ~할 것 같다.
be designed to, ~하도록 고안되다.
be scheduled to, ~할 예정이다.
be required to, ~하는 것이 필수적이다.
