surely, 반드시
generously, 관대하게
enthusiastically, 열렬하게
in person, 직접
fully, 충분히
indeed, 실제로
sharply, 급격하게
closely, 밀접하게
timely, 시기 적절한
costly, 비싼
lately, 최근에
orderly, 질서 정연한
hardly, 거의 ~ 않다.
well, 잘 or 훨씬
also, 또한
already, 벌써 or 이미
very, 매우
too, 너무 또한 
still, 여전히 or 아직도
then, 그때
quite, 꽤
yet, 아직
even, 심지어 
just, 방금 딱
ever, 언제나
slightly, 약간
gradually, 점진적으로
steadily, 꾸준히
considerably, 상당히
substantially, 상당히
nevertheless, 그럼에도 불구하고
moreover, 게다가
otherwise, 그렇지 않으면
never, 결코 ~ 않다
hardly/scarcely/seldom/rarely, 거의 ~ 않다.
reasonably priced, 가격이 적당한
affordably priced, 가격이 적당한
originally scheduled, 원래 예정된
review thoroughly, 철저히 검토하다
review carefully, 꼼꼼히 검토하다
widely known, 널리 알려진
clearly indicate, 명확하게 나타내다
permanently, 영구히
