merger proposal, 합병 제안서
brief, 짧은
brief statement, 짧은 연설문
processed food, 가공식품
extremly, 극도로
complain, 불평하다
complainer, 불평가
complaint, 불평or불만
range from A to B, A에서B까지 이르다
outstanding, 뛰어난
performance, 수행or공연or실적
vacuum cleaner, 진공청소기
openly, 공공연하게
duty, 일
corporate, 기업의
benefit, 혜택
beneficial, 유익한or이로운
acquire, 인수하다
acquisition, 인수
attendance, 참석or출석
consensus, 합의or동의
consult, 컨설트
estimate, 제안서
intension, 의도or의사
recognition, 인식
tiresome, 성가신
unsustainable, 지속불가능한
souvenior, 기념품
at the bottom of, 밑바닥에
be prohibited, 금지되다
construction area, 공사장
refinery, 정류소
appear, 나타내다or발행하다
expansion, 확장
through, ~을통한or철저한
revision, 검토
prioir to, ~의 앞서
give a demonstration, 시연을 하다
demonstrate, 시연하다
demonstrator, 시연가
watercolor, 수채화
technique, 기술
various, 다양한
variety, 다양성
safety, 안전
safe, 안전한
safely, 안전하게
so far, 지금까지
sales, 판매
surpass, 초과하다
analyst, 분석가
predict, 예측하다
prediction, 예측
overseas, 해외에
container, 통
establish, 설립하다
contain, 포함하다
former, 이전의
unavoidable, 피할 수 없는
specialize, ~을전문으로하다
suggest, 제안하다
suggestion, 제안
renovation, 보수공사
renovate, 보수공사하다
renovator, 혁신가
efficient, 효율적인
file, 파일or보관하다
detailed, 상세한
construct, 건설하다
workstation, 작업장소
conduct, 수행하다
by the end of the week, 금요일까지
inform, 알리다
informed, 잘 아는
property owner, 건물주
expanded, 확장된
be ahead of, ~의 앞서
be asked to do, ~를요청받다
prepare, 준비하다
travel, 여행하다
management, 관리
maintenance, 유지
determine, 결정하다
position, 위치or배치하다
premier, 프리미엄
quality, 질
appliance, 가전제품
be sure that, 확신하다
assistant, 비서
complete, 완성하다
investigation, 조사하다
inquiry, 문의
branch, 자사
submit, 제출하다
calculate, 계산하다
in advance, 미리
any, 누구든/무엇이든
missing, 잃어버린
promotion, 승진
shipping office, 배송사무실
procedure, 절차
feature, 특징 or 특징으로하다
recruiter, 채용담당자
interested, 흥미로운
completed, 완성된
construction, 건설적인
commentary, 논평
criticism, 비평
additionally, 덧붙여
